brand,address,description,founding_year,num_of_products
HealthChoice,Address for HealthChoice,Description for HealthChoice,2012,6
Mikado's,Address for Mikado's,Description for Mikado's,1996,24
Energizer,Address for Energizer,Description for Energizer,2010,66
Smiley-Quick Dry,Address for Smiley-Quick Dry,Description for Smiley-Quick Dry,2008,47
Kaadoo,Address for Kaadoo,Description for Kaadoo,2017,93
Hatti Kaapi,Address for Hatti Kaapi,Description for Hatti Kaapi,1943,91
The Healthy Cravings Co.,Address for The Healthy Cravings Co.,Description for The Healthy Cravings Co.,1916,94
Ovaltine,Address for Ovaltine,Description for Ovaltine,1957,54
YVES ROCHER,Address for YVES ROCHER,Description for YVES ROCHER,1951,46
Brownie Cottage,Address for Brownie Cottage,Description for Brownie Cottage,1907,1
Morton,Address for Morton,Description for Morton,1962,70
Pledge,Address for Pledge,Description for Pledge,1954,61
Crazy Moments,Address for Crazy Moments,Description for Crazy Moments,1991,83
Dr. Schar,Address for Dr. Schar,Description for Dr. Schar,1931,44
Vinanth,Address for Vinanth,Description for Vinanth,2014,61
Sofia,Address for Sofia,Description for Sofia,1918,8
Fakira,Address for Fakira,Description for Fakira,2002,73
Fazlani,Address for Fazlani,Description for Fazlani,2021,54
San Remo,Address for San Remo,Description for San Remo,1991,69
Cadbury Oreo,Address for Cadbury Oreo,Description for Cadbury Oreo,1952,29
Mansaa,Address for Mansaa,Description for Mansaa,1965,45
1st Bites,Address for 1st Bites,Description for 1st Bites,2007,59
Sanitt,Address for Sanitt,Description for Sanitt,1914,53
Popular Essentials,Address for Popular Essentials,Description for Popular Essentials,1921,64
Mahaware,Address for Mahaware,Description for Mahaware,1976,55
Cetaphil ,Address for Cetaphil ,Description for Cetaphil ,1945,60
&Me,Address for &Me,Description for &Me,1955,73
Dogsee Crunch,Address for Dogsee Crunch,Description for Dogsee Crunch,1919,48
The Green.Company,Address for The Green.Company,Description for The Green.Company,1936,98
Kerala,Address for Kerala,Description for Kerala,1987,28
Diabetics Dezire,Address for Diabetics Dezire,Description for Diabetics Dezire,1937,5
Ragu,Address for Ragu,Description for Ragu,1914,6
Tez,Address for Tez,Description for Tez,2022,9
Coronation,Address for Coronation,Description for Coronation,1992,94
Victor,Address for Victor,Description for Victor,2002,83
Om sri Kar,Address for Om sri Kar,Description for Om sri Kar,1917,93
Salon,Address for Salon,Description for Salon,1994,10
HE,Address for HE,Description for HE,1988,12
Uns,Address for Uns,Description for Uns,1900,36
Carmesi,Address for Carmesi,Description for Carmesi,1903,45
Cpp,Address for Cpp,Description for Cpp,1959,35
Naagin ,Address for Naagin ,Description for Naagin ,1986,30
Delfi,Address for Delfi,Description for Delfi,1903,72
Royal Touch,Address for Royal Touch,Description for Royal Touch,1993,18
Volini,Address for Volini,Description for Volini,2022,89
Arham,Address for Arham,Description for Arham,1931,32
Premium,Address for Premium,Description for Premium,2005,20
Forgreen,Address for Forgreen,Description for Forgreen,1927,26
Carl Jung,Address for Carl Jung,Description for Carl Jung,1965,45
Kwality,Address for Kwality,Description for Kwality,1912,97
Montanini,Address for Montanini,Description for Montanini,1980,61
Daarzel,Address for Daarzel,Description for Daarzel,1948,32
Dogsee Chew,Address for Dogsee Chew,Description for Dogsee Chew,1921,65
EL PASO,Address for EL PASO,Description for EL PASO,1961,81
Lee,Address for Lee,Description for Lee,1937,21
Capilano,Address for Capilano,Description for Capilano,1977,31
Zermisol,Address for Zermisol,Description for Zermisol,1921,2
Re,Address for Re,Description for Re,1976,81
Cosmo,Address for Cosmo,Description for Cosmo,1929,17
Cadburry,Address for Cadburry,Description for Cadburry,1957,16
Gold Deer,Address for Gold Deer,Description for Gold Deer,1962,83
Clear,Address for Clear,Description for Clear,1982,78
Mothercare ,Address for Mothercare ,Description for Mothercare ,1970,26
Charmis,Address for Charmis,Description for Charmis,2013,49
Uncle Tony,Address for Uncle Tony,Description for Uncle Tony,1973,92
Unity,Address for Unity,Description for Unity,1922,98
Mix Box,Address for Mix Box,Description for Mix Box,2013,4
Draft,Address for Draft,Description for Draft,1922,61
LG,Address for LG,Description for LG,1994,1
Aeres,Address for Aeres,Description for Aeres,1907,43
Pediasure,Address for Pediasure,Description for Pediasure,2018,15
Zago,Address for Zago,Description for Zago,1928,39
PRO ORGANIC LIFE,Address for PRO ORGANIC LIFE,Description for PRO ORGANIC LIFE,1956,69
Bonorganik,Address for Bonorganik,Description for Bonorganik,1960,47
IKO,Address for IKO,Description for IKO,2015,98
Everteen,Address for Everteen,Description for Everteen,2017,85
MG Polyplast,Address for MG Polyplast,Description for MG Polyplast,1948,26
iD,Address for iD,Description for iD,2022,57
VITRO,Address for VITRO,Description for VITRO,1992,60
Auravedic,Address for Auravedic,Description for Auravedic,1994,83
Khadi Meghdooth,Address for Khadi Meghdooth,Description for Khadi Meghdooth,2007,78
Morisons ,Address for Morisons ,Description for Morisons ,2007,98
The Health Factory,Address for The Health Factory,Description for The Health Factory,1986,80
Easy life,Address for Easy life,Description for Easy life,1977,6
Aaniya,Address for Aaniya,Description for Aaniya,1939,17
Lehar,Address for Lehar,Description for Lehar,1975,92
PostCard,Address for PostCard,Description for PostCard,1924,39
Ants-Duraprot,Address for Ants-Duraprot,Description for Ants-Duraprot,1992,11
SSCPL HERBALS,Address for SSCPL HERBALS,Description for SSCPL HERBALS,1915,29
Meatzza,Address for Meatzza,Description for Meatzza,1981,33
Dip,Address for Dip,Description for Dip,2019,4
Ponvandu,Address for Ponvandu,Description for Ponvandu,1958,40
Aarika,Address for Aarika,Description for Aarika,1958,17
Pez,Address for Pez,Description for Pez,1929,80
Godrej Nupur,Address for Godrej Nupur,Description for Godrej Nupur,1940,47
ICare,Address for ICare,Description for ICare,2000,26
Coffee Day,Address for Coffee Day,Description for Coffee Day,2016,45
MCaffeine ,Address for MCaffeine ,Description for MCaffeine ,1904,29
Maruti,Address for Maruti,Description for Maruti,1981,59
Honeywell,Address for Honeywell,Description for Honeywell,1958,45
Greenchef,Address for Greenchef,Description for Greenchef,1974,77
Hunter's Gourmet,Address for Hunter's Gourmet,Description for Hunter's Gourmet,1919,18
Ring Guard,Address for Ring Guard,Description for Ring Guard,1924,79
Sour Punk,Address for Sour Punk,Description for Sour Punk,1956,20
Hershey's Kisses,Address for Hershey's Kisses,Description for Hershey's Kisses,1983,47
Monetta,Address for Monetta,Description for Monetta,1901,0
Pine Sol,Address for Pine Sol,Description for Pine Sol,1912,29
Tefal,Address for Tefal,Description for Tefal,1978,25
Avean,Address for Avean,Description for Avean,1913,72
Anil,Address for Anil,Description for Anil,1970,79
Trisa ,Address for Trisa ,Description for Trisa ,1980,17
Godrej Anoop,Address for Godrej Anoop,Description for Godrej Anoop,1995,4
Canine Creek,Address for Canine Creek,Description for Canine Creek,1900,46
H&B,Address for H&B,Description for H&B,1977,93
Ujala Supreme,Address for Ujala Supreme,Description for Ujala Supreme,1991,7
Lee Kum Kee,Address for Lee Kum Kee,Description for Lee Kum Kee,1937,32
Tata Tea Gold,Address for Tata Tea Gold,Description for Tata Tea Gold,1978,48
Barbican ,Address for Barbican ,Description for Barbican ,1988,33
Glad,Address for Glad,Description for Glad,1918,10
Vitro Naturals ,Address for Vitro Naturals ,Description for Vitro Naturals ,1998,12
Cook4U,Address for Cook4U,Description for Cook4U,1984,32
La-par,Address for La-par,Description for La-par,1993,93
Healing Touch,Address for Healing Touch,Description for Healing Touch,1978,96
Scotti,Address for Scotti,Description for Scotti,1969,26
Manya,Address for Manya,Description for Manya,1956,19
Tallboy,Address for Tallboy,Description for Tallboy,1998,27
Suryaflame,Address for Suryaflame,Description for Suryaflame,1943,19
ChingTam,Address for ChingTam,Description for ChingTam,1954,80
SAFE-KI,Address for SAFE-KI,Description for SAFE-KI,1926,96
Maya,Address for Maya,Description for Maya,2005,21
Tang,Address for Tang,Description for Tang,1914,55
50 Ap ,Address for 50 Ap ,Description for 50 Ap ,1967,20
Ultra,Address for Ultra,Description for Ultra,1986,1
Poop-cee,Address for Poop-cee,Description for Poop-cee,1947,47
HONGLI,Address for HONGLI,Description for HONGLI,1939,63
Opera,Address for Opera,Description for Opera,1900,84
Oxylife,Address for Oxylife,Description for Oxylife,1903,44
Atish Papad ,Address for Atish Papad ,Description for Atish Papad ,1961,87
Durex,Address for Durex,Description for Durex,1955,15
Release on,Address for Release on,Description for Release on,1977,40
SterloMax,Address for SterloMax,Description for SterloMax,1991,41
Ojasvita,Address for Ojasvita,Description for Ojasvita,1985,10
Dabur Babool,Address for Dabur Babool,Description for Dabur Babool,2016,21
Vwash,Address for Vwash,Description for Vwash,1906,94
Mangalam,Address for Mangalam,Description for Mangalam,1923,44
Montex,Address for Montex,Description for Montex,1967,4
Bakerswhip,Address for Bakerswhip,Description for Bakerswhip,1954,18
EverEve,Address for EverEve,Description for EverEve,1966,8
Bragg,Address for Bragg,Description for Bragg,1900,32
Aarna,Address for Aarna,Description for Aarna,1916,16
RISE UP ,Address for RISE UP ,Description for RISE UP ,1951,70
Pilot,Address for Pilot,Description for Pilot,1952,57
On The Run,Address for On The Run,Description for On The Run,2014,82
Ice Breakers,Address for Ice Breakers,Description for Ice Breakers,1995,42
Hankley,Address for Hankley,Description for Hankley,1993,93
Baby Dove,Address for Baby Dove,Description for Baby Dove,2014,12
Mondsub,Address for Mondsub,Description for Mondsub,1926,57
Lal,Address for Lal,Description for Lal,1910,55
Sericha,Address for Sericha,Description for Sericha,1967,7
Duncan Hines,Address for Duncan Hines,Description for Duncan Hines,1965,84
Wellastrate,Address for Wellastrate,Description for Wellastrate,2009,34
Reynolds,Address for Reynolds,Description for Reynolds,1915,91
Germi Chek,Address for Germi Chek,Description for Germi Chek,2009,90
Born Good,Address for Born Good,Description for Born Good,1981,94
Bodysoul,Address for Bodysoul,Description for Bodysoul,2010,68
Hamam ,Address for Hamam ,Description for Hamam ,1904,10
Delouis,Address for Delouis,Description for Delouis,2008,97
Milkybar,Address for Milkybar,Description for Milkybar,1990,81
Japanese Choice,Address for Japanese Choice,Description for Japanese Choice,1947,48
Big Plastics,Address for Big Plastics,Description for Big Plastics,2012,88
Nicka K,Address for Nicka K,Description for Nicka K,1949,22
OGX,Address for OGX,Description for OGX,1973,48
Salonik,Address for Salonik,Description for Salonik,1995,14
Beantree,Address for Beantree,Description for Beantree,1983,19
Bibo,Address for Bibo,Description for Bibo,2002,15
Golden Tips,Address for Golden Tips,Description for Golden Tips,2018,79
Ifb,Address for Ifb,Description for Ifb,1917,86
BA KABRA,Address for BA KABRA,Description for BA KABRA,1903,69
Nestle NesPlus,Address for Nestle NesPlus,Description for Nestle NesPlus,2020,61
Blor,Address for Blor,Description for Blor,1962,66
Z,Address for Z,Description for Z,1919,1
Godrej Cinthol,Address for Godrej Cinthol,Description for Godrej Cinthol,1960,83
Tiera,Address for Tiera,Description for Tiera,1972,4
Glow & Handsome,Address for Glow & Handsome,Description for Glow & Handsome,1968,21
Darshi,Address for Darshi,Description for Darshi,2006,23
Cremica,Address for Cremica,Description for Cremica,1967,13
Hart Beat,Address for Hart Beat,Description for Hart Beat,1931,72
Cleox,Address for Cleox,Description for Cleox,1985,41
Bolst's,Address for Bolst's,Description for Bolst's,2011,13
Nutella,Address for Nutella,Description for Nutella,1955,41
Nature Fresh,Address for Nature Fresh,Description for Nature Fresh,1914,37
Maybelline New York,Address for Maybelline New York,Description for Maybelline New York,2012,16
Lawrence Mills,Address for Lawrence Mills,Description for Lawrence Mills,2003,24
Natures Organic,Address for Natures Organic,Description for Natures Organic,1977,20
Bentley,Address for Bentley,Description for Bentley,1979,19
Maped ,Address for Maped ,Description for Maped ,1925,14
Purple Hippie,Address for Purple Hippie,Description for Purple Hippie,2020,17
Hintz,Address for Hintz,Description for Hintz,2017,65
Chuk,Address for Chuk,Description for Chuk,1941,20
Ulric De Varens,Address for Ulric De Varens,Description for Ulric De Varens,1975,11
Xishifeng,Address for Xishifeng,Description for Xishifeng,1975,41
MTR FOODS,Address for MTR FOODS,Description for MTR FOODS,2001,55
JLT,Address for JLT,Description for JLT,1914,90
Amul Gold,Address for Amul Gold,Description for Amul Gold,1949,95
Cherry Blossom,Address for Cherry Blossom,Description for Cherry Blossom,1987,70
Cosmetics,Address for Cosmetics,Description for Cosmetics,1923,98
Laser,Address for Laser,Description for Laser,2008,55
Clean And Dry,Address for Clean And Dry,Description for Clean And Dry,1906,20
DIVING DUCK,Address for DIVING DUCK,Description for DIVING DUCK,1948,71
Renew Air,Address for Renew Air,Description for Renew Air,1913,21
Rica,Address for Rica,Description for Rica,2007,94
Good Morning,Address for Good Morning,Description for Good Morning,1986,39
Parkash Candles,Address for Parkash Candles,Description for Parkash Candles,1933,52
Scotch,Address for Scotch,Description for Scotch,1977,35
Aura,Address for Aura,Description for Aura,2006,13
Satyendra,Address for Satyendra,Description for Satyendra,1967,4
Nutralite,Address for Nutralite,Description for Nutralite,1964,61
Taj Mahal,Address for Taj Mahal,Description for Taj Mahal,2007,63
Oriental,Address for Oriental,Description for Oriental,1913,86
Lune De Miel ,Address for Lune De Miel ,Description for Lune De Miel ,1972,39
Gold Winner,Address for Gold Winner,Description for Gold Winner,1957,13
Jivika Naturals,Address for Jivika Naturals,Description for Jivika Naturals,1902,49
Floh,Address for Floh,Description for Floh,1977,92
Crispees,Address for Crispees,Description for Crispees,1966,27
Bubblenut Wash,Address for Bubblenut Wash,Description for Bubblenut Wash,1976,76
Twix,Address for Twix,Description for Twix,2011,22
ADIRA,Address for ADIRA,Description for ADIRA,1943,96
Tree Grab,Address for Tree Grab,Description for Tree Grab,2011,73
Veggie Clean,Address for Veggie Clean,Description for Veggie Clean,1909,44
Godrej Proclean,Address for Godrej Proclean,Description for Godrej Proclean,1924,0
Novagold,Address for Novagold,Description for Novagold,1918,54
Nu-Shakti,Address for Nu-Shakti,Description for Nu-Shakti,1954,26
Colourmist,Address for Colourmist,Description for Colourmist,1938,84
RED LINE,Address for RED LINE,Description for RED LINE,1973,7
Brasso,Address for Brasso,Description for Brasso,1975,68
Tedemi,Address for Tedemi,Description for Tedemi,1953,90
Revive,Address for Revive,Description for Revive,2012,72
Nutty Gritties,Address for Nutty Gritties,Description for Nutty Gritties,1914,50
Batiste,Address for Batiste,Description for Batiste,1946,1
Mugi Fresh,Address for Mugi Fresh,Description for Mugi Fresh,1937,27
RENUZIT,Address for RENUZIT,Description for RENUZIT,1970,0
Zazzy,Address for Zazzy,Description for Zazzy,1921,4
Ikkai,Address for Ikkai,Description for Ikkai,1962,45
Klairs,Address for Klairs,Description for Klairs,1948,64
Love Me,Address for Love Me,Description for Love Me,1959,12
AMADO,Address for AMADO,Description for AMADO,1970,81
Aashirvaad Svasti,Address for Aashirvaad Svasti,Description for Aashirvaad Svasti,1960,22
Itch Guard,Address for Itch Guard,Description for Itch Guard,1977,90
Aquafina,Address for Aquafina,Description for Aquafina,1980,84
Dot & Key,Address for Dot & Key,Description for Dot & Key,2010,49
Apex,Address for Apex,Description for Apex,1975,30
Unique Arts & Interiors,Address for Unique Arts & Interiors,Description for Unique Arts & Interiors,1983,33
Cadbury BournVita,Address for Cadbury BournVita,Description for Cadbury BournVita,1910,28
Neo foods ,Address for Neo foods ,Description for Neo foods ,1917,62
Jayanthi Coffee,Address for Jayanthi Coffee,Description for Jayanthi Coffee,1902,74
Corniche,Address for Corniche,Description for Corniche,1914,66
Good maid,Address for Good maid,Description for Good maid,1975,73
Himalayan,Address for Himalayan,Description for Himalayan,1983,37
Zevic Premium,Address for Zevic Premium,Description for Zevic Premium,1966,54
Tiger,Address for Tiger,Description for Tiger,1935,8
Dermal,Address for Dermal,Description for Dermal,2017,13
bigbasket,Address for bigbasket,Description for bigbasket,2010,88
Tata Salt,Address for Tata Salt,Description for Tata Salt,1979,25
IGLOO,Address for IGLOO,Description for IGLOO,1919,62
Isvaryam,Address for Isvaryam,Description for Isvaryam,1908,28
OGMO,Address for OGMO,Description for OGMO,2015,61
Chocoville,Address for Chocoville,Description for Chocoville,1903,86
FabBox.in,Address for FabBox.in,Description for FabBox.in,1958,19
Kpl,Address for Kpl,Description for Kpl,1939,40
Toonpops,Address for Toonpops,Description for Toonpops,1994,33
Nastawala,Address for Nastawala,Description for Nastawala,1937,92
Nestle Koko Krunch,Address for Nestle Koko Krunch,Description for Nestle Koko Krunch,1997,2
The Earth Reserve,Address for The Earth Reserve,Description for The Earth Reserve,1915,12
Just A Minute,Address for Just A Minute,Description for Just A Minute,1912,10
Spice Liquid,Address for Spice Liquid,Description for Spice Liquid,2014,62
DevBhumi,Address for DevBhumi,Description for DevBhumi,1951,21
Anandam,Address for Anandam,Description for Anandam,1926,5
Meiji ,Address for Meiji ,Description for Meiji ,1912,70
Orion,Address for Orion,Description for Orion,2016,67
Remy Marquis,Address for Remy Marquis,Description for Remy Marquis,1948,76
Sanjeev Kapoor,Address for Sanjeev Kapoor,Description for Sanjeev Kapoor,1969,91
Laxminarayan,Address for Laxminarayan,Description for Laxminarayan,1959,3
Happy Milk,Address for Happy Milk,Description for Happy Milk,1958,26
Hairmac,Address for Hairmac,Description for Hairmac,1993,89
Promen,Address for Promen,Description for Promen,1973,26
All That Dips,Address for All That Dips,Description for All That Dips,1982,5
Saffola FITTIFY Gourmet,Address for Saffola FITTIFY Gourmet,Description for Saffola FITTIFY Gourmet,2008,13
Vanish,Address for Vanish,Description for Vanish,1949,9
Pony Effect,Address for Pony Effect,Description for Pony Effect,1951,0
Foodecor,Address for Foodecor,Description for Foodecor,1996,62
Tata ,Address for Tata ,Description for Tata ,1931,26
Dream Bake,Address for Dream Bake,Description for Dream Bake,2008,14
Candid,Address for Candid,Description for Candid,1927,9
Bonne Maman,Address for Bonne Maman,Description for Bonne Maman,1968,29
Good Luck,Address for Good Luck,Description for Good Luck,1969,39
Coolberg,Address for Coolberg,Description for Coolberg,1966,46
Terra,Address for Terra,Description for Terra,1927,65
Himani,Address for Himani,Description for Himani,1969,19
Jacker ,Address for Jacker ,Description for Jacker ,1963,59
Monini,Address for Monini,Description for Monini,1967,56
Kims,Address for Kims,Description for Kims,2017,19
Strawberry,Address for Strawberry,Description for Strawberry,1924,24
Roxx,Address for Roxx,Description for Roxx,1971,58
Soklet,Address for Soklet,Description for Soklet,1924,74
Kikkoman,Address for Kikkoman,Description for Kikkoman,1999,78
Relispray,Address for Relispray,Description for Relispray,2015,29
Oreo,Address for Oreo,Description for Oreo,1936,5
Cadbury Silk,Address for Cadbury Silk,Description for Cadbury Silk,2003,81
Kinder,Address for Kinder,Description for Kinder,1907,72
Ullas,Address for Ullas,Description for Ullas,1951,87
Silk,Address for Silk,Description for Silk,1909,14
Kitchen Treasures,Address for Kitchen Treasures,Description for Kitchen Treasures,1981,17
VWash Wow,Address for VWash Wow,Description for VWash Wow,1941,27
Daiou,Address for Daiou,Description for Daiou,1998,51
Cadbury Gems,Address for Cadbury Gems,Description for Cadbury Gems,1969,15
Fantastic,Address for Fantastic,Description for Fantastic,1920,29
Maxi Persian,Address for Maxi Persian,Description for Maxi Persian,1932,42
Mr South,Address for Mr South,Description for Mr South,2001,46
Brunella,Address for Brunella,Description for Brunella,1943,48
Ceramic ,Address for Ceramic ,Description for Ceramic ,1986,21
Kawach,Address for Kawach,Description for Kawach,1939,0
Polo,Address for Polo,Description for Polo,2008,0
Happy Cow,Address for Happy Cow,Description for Happy Cow,1970,1
Veg Wash +,Address for Veg Wash +,Description for Veg Wash +,2002,51
Diamond,Address for Diamond,Description for Diamond,1919,64
Annapurna,Address for Annapurna,Description for Annapurna,1984,81
Brother,Address for Brother,Description for Brother,1908,67
Tagz,Address for Tagz,Description for Tagz,1947,84
Ensure,Address for Ensure,Description for Ensure,1938,96
Zevic,Address for Zevic,Description for Zevic,1980,60
Haribo,Address for Haribo,Description for Haribo,1995,8
SACHAMOTI,Address for SACHAMOTI,Description for SACHAMOTI,1996,44
Nimeasy,Address for Nimeasy,Description for Nimeasy,1917,6
Chupa Chups,Address for Chupa Chups,Description for Chupa Chups,1913,36
Meixiang,Address for Meixiang,Description for Meixiang,1964,64
Ambrosia Delicatessen,Address for Ambrosia Delicatessen,Description for Ambrosia Delicatessen,1987,69
Kohinoor Condoms,Address for Kohinoor Condoms,Description for Kohinoor Condoms,2010,72
Priya Brand,Address for Priya Brand,Description for Priya Brand,1996,94
THIRUMALA,Address for THIRUMALA,Description for THIRUMALA,1917,22
Schweppes,Address for Schweppes,Description for Schweppes,1923,87
Shree Mahalakshmi ,Address for Shree Mahalakshmi ,Description for Shree Mahalakshmi ,1962,6
Homey Home Fresh,Address for Homey Home Fresh,Description for Homey Home Fresh,1920,45
Boing,Address for Boing,Description for Boing,1922,14
Choki Choki,Address for Choki Choki,Description for Choki Choki,1941,50
Bon curry ,Address for Bon curry ,Description for Bon curry ,1901,60
VClass,Address for VClass,Description for VClass,2006,45
Creme 21,Address for Creme 21,Description for Creme 21,1965,21
Rooted Peepul,Address for Rooted Peepul,Description for Rooted Peepul,1986,3
Morison Baby Dreams,Address for Morison Baby Dreams,Description for Morison Baby Dreams,1904,57
Carefree,Address for Carefree,Description for Carefree,1932,1
Jerhigh,Address for Jerhigh,Description for Jerhigh,1956,1
Copy Gold,Address for Copy Gold,Description for Copy Gold,1977,87
Chip Chops,Address for Chip Chops,Description for Chip Chops,1945,50
Yujing,Address for Yujing,Description for Yujing,1970,15
Limca ,Address for Limca ,Description for Limca ,1907,61
Madilu,Address for Madilu,Description for Madilu,1961,35
Maxo,Address for Maxo,Description for Maxo,1914,91
Nestle A+,Address for Nestle A+,Description for Nestle A+,1947,33
Lapar,Address for Lapar,Description for Lapar,1998,88
Depend,Address for Depend,Description for Depend,2013,67
Ruchi,Address for Ruchi,Description for Ruchi,1978,52
Carven,Address for Carven,Description for Carven,2003,23
Yongsheng,Address for Yongsheng,Description for Yongsheng,2000,29
Scalpe Pro,Address for Scalpe Pro,Description for Scalpe Pro,1925,3
Venyaa,Address for Venyaa,Description for Venyaa,1939,61
DND,Address for DND,Description for DND,1921,62
Healthy Gut,Address for Healthy Gut,Description for Healthy Gut,1973,26
Chik,Address for Chik,Description for Chik,1933,32
The Kitchen Farms,Address for The Kitchen Farms,Description for The Kitchen Farms,1915,4
Sunbean  ,Address for Sunbean  ,Description for Sunbean  ,2006,39
La Costena,Address for La Costena,Description for La Costena,2004,12
Bush,Address for Bush,Description for Bush,1987,46
Sabena,Address for Sabena,Description for Sabena,2015,83
Amulya,Address for Amulya,Description for Amulya,1969,46
General Mills,Address for General Mills,Description for General Mills,1953,70
Wedderspoon,Address for Wedderspoon,Description for Wedderspoon,2015,38
Shakira,Address for Shakira,Description for Shakira,1947,64
CHENNAI SUPER KINGS,Address for CHENNAI SUPER KINGS,Description for CHENNAI SUPER KINGS,1914,74
Clean N Fresh,Address for Clean N Fresh,Description for Clean N Fresh,1905,60
Absorb-It,Address for Absorb-It,Description for Absorb-It,2018,84
Livon,Address for Livon,Description for Livon,1906,54
Freshious,Address for Freshious,Description for Freshious,1921,60
Prozo+,Address for Prozo+,Description for Prozo+,1906,44
Praana,Address for Praana,Description for Praana,1918,18
Artinci,Address for Artinci,Description for Artinci,1999,74
Desi Utthana,Address for Desi Utthana,Description for Desi Utthana,1903,88
ezy,Address for ezy,Description for ezy,1990,86
Daily Dump,Address for Daily Dump,Description for Daily Dump,1951,89
Ammae,Address for Ammae,Description for Ammae,1901,29
M Stick,Address for M Stick,Description for M Stick,1918,20
BONGO BHOG,Address for BONGO BHOG,Description for BONGO BHOG,1967,27
Ogara,Address for Ogara,Description for Ogara,2013,19
Swaad,Address for Swaad,Description for Swaad,1901,11
A&M,Address for A&M,Description for A&M,1920,64
Kangaro,Address for Kangaro,Description for Kangaro,1977,79
Arcor,Address for Arcor,Description for Arcor,2003,58
Lijjat,Address for Lijjat,Description for Lijjat,1950,51
Cif,Address for Cif,Description for Cif,1969,83
To Be Honest,Address for To Be Honest,Description for To Be Honest,1968,50
Nisargalaya,Address for Nisargalaya,Description for Nisargalaya,1996,29
Pukka,Address for Pukka,Description for Pukka,1948,15
Hi-Fresh,Address for Hi-Fresh,Description for Hi-Fresh,2021,88
The Beauty Co.,Address for The Beauty Co.,Description for The Beauty Co.,1968,41
Siang Pure,Address for Siang Pure,Description for Siang Pure,1964,77
Prowomen,Address for Prowomen,Description for Prowomen,2019,59
SARI GANDUM,Address for SARI GANDUM,Description for SARI GANDUM,2007,86
Bounty,Address for Bounty,Description for Bounty,1905,8
Kasturi,Address for Kasturi,Description for Kasturi,1994,71
Republic of Chicken,Address for Republic of Chicken,Description for Republic of Chicken,1975,3
Fng,Address for Fng,Description for Fng,1997,70
GPC,Address for GPC,Description for GPC,1946,74
Muyi,Address for Muyi,Description for Muyi,1907,0
Basso,Address for Basso,Description for Basso,1959,51
OLIVANA,Address for OLIVANA,Description for OLIVANA,1984,62
Ciphands,Address for Ciphands,Description for Ciphands,1986,20
Karkhana,Address for Karkhana,Description for Karkhana,1936,36
Saafoo,Address for Saafoo,Description for Saafoo,1919,80
Tropics,Address for Tropics,Description for Tropics,1928,84
COFFEE JOY,Address for COFFEE JOY,Description for COFFEE JOY,1908,43
Sakura,Address for Sakura,Description for Sakura,1950,61
Bergner,Address for Bergner,Description for Bergner,1906,76
Mukund,Address for Mukund,Description for Mukund,1962,26
WaghBakri,Address for WaghBakri,Description for WaghBakri,1951,19
B2B,Address for B2B,Description for B2B,1909,95
Nature's Treat,Address for Nature's Treat,Description for Nature's Treat,1954,14
Aerostar,Address for Aerostar,Description for Aerostar,1983,96
Kopiko,Address for Kopiko,Description for Kopiko,1941,6
Bakers,Address for Bakers,Description for Bakers,1959,49
Bellie,Address for Bellie,Description for Bellie,1913,84
Cute Girl,Address for Cute Girl,Description for Cute Girl,1992,8
Bhikhaaram Chandmal,Address for Bhikhaaram Chandmal,Description for Bhikhaaram Chandmal,1934,53
Savorit,Address for Savorit,Description for Savorit,1935,87
Sukrit,Address for Sukrit,Description for Sukrit,1967,39
Indus Valley,Address for Indus Valley,Description for Indus Valley,1977,99
BSY,Address for BSY,Description for BSY,1922,95
Zour Bomb,Address for Zour Bomb,Description for Zour Bomb,1902,75
Keratone,Address for Keratone,Description for Keratone,1913,26
Iodex,Address for Iodex,Description for Iodex,1911,44
Regal Essence,Address for Regal Essence,Description for Regal Essence,1954,22
Cot Mate,Address for Cot Mate,Description for Cot Mate,1966,62
Society,Address for Society,Description for Society,2008,76
Tofu,Address for Tofu,Description for Tofu,2008,84
Sloan's,Address for Sloan's,Description for Sloan's,2019,44
Skc,Address for Skc,Description for Skc,1917,19
Homizol,Address for Homizol,Description for Homizol,1985,57
3 Roses,Address for 3 Roses,Description for 3 Roses,1917,11
Coco mama,Address for Coco mama,Description for Coco mama,1959,44
Some More,Address for Some More,Description for Some More,1927,83
Caremate,Address for Caremate,Description for Caremate,1917,80
Delfi Twister,Address for Delfi Twister,Description for Delfi Twister,2005,89
Wood & Kemp,Address for Wood & Kemp,Description for Wood & Kemp,1931,65
Udy,Address for Udy,Description for Udy,1943,73
Gift Basket,Address for Gift Basket,Description for Gift Basket,2017,37
Fox'S,Address for Fox'S,Description for Fox'S,1977,37
Aristocrat,Address for Aristocrat,Description for Aristocrat,1909,26
Armaf,Address for Armaf,Description for Armaf,2018,38
ZEISS,Address for ZEISS,Description for ZEISS,2011,25
Mamy,Address for Mamy,Description for Mamy,1950,50
Puro,Address for Puro,Description for Puro,1957,44
Antonio Banderas,Address for Antonio Banderas,Description for Antonio Banderas,2008,82
Farmers Family,Address for Farmers Family,Description for Farmers Family,1902,2
Orysa,Address for Orysa,Description for Orysa,1963,51
Formula,Address for Formula,Description for Formula,2008,25
Vochelle,Address for Vochelle,Description for Vochelle,1921,19
Ancient Living,Address for Ancient Living,Description for Ancient Living,1973,19
Goodluck,Address for Goodluck,Description for Goodluck,1926,39
